fecha,territorio,combustible,minimo,medio,maximo,estaciones
2026-05-10,Bizkaia,g95,1.319,1.564,1.699,124
2026-05-10,Bizkaia,g98,1.539,1.731,1.809,68
2026-05-10,Bizkaia,diesel,1.439,1.717,1.868,126
2026-05-10,Bizkaia,dieselPlus,1.599,1.78,1.989,45
2026-05-11,Araba,g95,1.428,1.558,1.66,67
2026-05-11,Araba,diesel,1.516,1.715,1.829,71
2026-05-11,Araba,dieselPlus,1.628,1.79,1.885,36
2026-05-11,Araba,g98,1.539,1.713,1.815,37
2026-05-11,Gipuzkoa,g95,1.319,1.545,1.699,129
2026-05-11,Gipuzkoa,g98,1.519,1.715,1.799,76
2026-05-11,Gipuzkoa,diesel,1.419,1.704,1.859,144
2026-05-11,Gipuzkoa,dieselPlus,1.553,1.785,1.875,80
2026-05-11,Navarra,g95,1.329,1.515,1.659,212
2026-05-11,Navarra,diesel,1.485,1.671,1.879,236
2026-05-11,Navarra,dieselPlus,1.57,1.771,1.929,94
2026-05-11,Navarra,g98,1.499,1.705,1.852,62
2026-05-11,Bizkaia,g95,1.394,1.564,1.689,124
2026-05-11,Bizkaia,g98,1.539,1.729,1.809,69
2026-05-11,Bizkaia,diesel,1.509,1.709,1.868,125
2026-05-11,Bizkaia,dieselPlus,1.579,1.769,1.909,42
2026-05-12,Araba,g95,1.428,1.557,1.659,67
2026-05-12,Araba,diesel,1.549,1.71,1.829,70
2026-05-12,Araba,dieselPlus,1.609,1.789,1.885,36
2026-05-12,Araba,g98,1.539,1.713,1.815,37
2026-05-12,Gipuzkoa,g95,1.309,1.544,1.699,130
2026-05-12,Gipuzkoa,g98,1.519,1.716,1.799,76
2026-05-12,Gipuzkoa,diesel,1.399,1.702,1.859,144
2026-05-12,Gipuzkoa,dieselPlus,1.553,1.783,1.869,80
2026-05-12,Navarra,g95,1.329,1.518,1.659,217
2026-05-12,Navarra,diesel,1.485,1.668,1.879,241
2026-05-12,Navarra,dieselPlus,1.568,1.77,1.909,99
2026-05-12,Navarra,g98,1.489,1.71,1.994,63
2026-05-12,Bizkaia,g95,1.379,1.562,1.689,125
2026-05-12,Bizkaia,g98,1.539,1.729,1.809,69
2026-05-12,Bizkaia,diesel,1.509,1.705,1.839,127
2026-05-12,Bizkaia,dieselPlus,1.569,1.758,1.909,45
2026-05-13,Araba,g95,1.428,1.563,1.659,66
2026-05-13,Araba,diesel,1.549,1.709,1.829,70
2026-05-13,Araba,dieselPlus,1.609,1.788,1.885,36
2026-05-13,Araba,g98,1.539,1.713,1.815,37
2026-05-13,Gipuzkoa,g95,1.309,1.55,1.699,130
2026-05-13,Gipuzkoa,g98,1.519,1.72,1.799,76
2026-05-13,Gipuzkoa,diesel,1.399,1.7,1.859,144
2026-05-13,Gipuzkoa,dieselPlus,1.554,1.779,1.859,80
2026-05-13,Navarra,g95,1.329,1.521,1.659,217
2026-05-13,Navarra,diesel,1.485,1.667,1.879,241
2026-05-13,Navarra,dieselPlus,1.569,1.77,1.909,99
2026-05-13,Navarra,g98,1.489,1.712,1.994,63
2026-05-13,Bizkaia,g95,1.369,1.566,1.689,125
2026-05-13,Bizkaia,g98,1.539,1.733,1.815,69
2026-05-13,Bizkaia,diesel,1.509,1.704,1.839,126
2026-05-13,Bizkaia,dieselPlus,1.569,1.758,1.909,44
2026-05-14,Araba,g95,1.425,1.568,1.689,67
2026-05-14,Araba,diesel,1.549,1.706,1.829,70
2026-05-14,Araba,dieselPlus,1.609,1.782,1.885,36
2026-05-14,Araba,g98,1.539,1.722,1.815,37
2026-05-14,Gipuzkoa,g95,1.309,1.559,1.699,130
2026-05-14,Gipuzkoa,g98,1.519,1.73,1.799,76
2026-05-14,Gipuzkoa,diesel,1.399,1.703,1.859,144
2026-05-14,Gipuzkoa,dieselPlus,1.558,1.781,1.869,80
2026-05-14,Navarra,g95,1.329,1.526,1.699,218
2026-05-14,Navarra,diesel,1.485,1.665,1.879,242
2026-05-14,Navarra,dieselPlus,1.578,1.768,1.909,99
2026-05-14,Navarra,g98,1.489,1.725,1.994,63
2026-05-14,Bizkaia,g95,1.369,1.571,1.689,125
2026-05-14,Bizkaia,g98,1.539,1.74,1.819,69
2026-05-14,Bizkaia,diesel,1.509,1.703,1.839,126
2026-05-14,Bizkaia,dieselPlus,1.569,1.757,1.909,44
2026-05-15,Araba,g95,1.425,1.573,1.689,66
2026-05-15,Araba,diesel,1.545,1.703,1.829,71
2026-05-15,Araba,dieselPlus,1.605,1.78,1.885,36
2026-05-15,Araba,g98,1.549,1.73,1.815,37
2026-05-15,Gipuzkoa,g95,1.299,1.561,1.689,131
2026-05-15,Gipuzkoa,g98,1.519,1.736,1.809,77
2026-05-15,Gipuzkoa,diesel,1.419,1.703,1.859,145
2026-05-15,Gipuzkoa,dieselPlus,1.565,1.784,1.919,81
2026-05-15,Navarra,g95,1.329,1.528,1.699,213
2026-05-15,Navarra,diesel,1.455,1.662,1.879,239
2026-05-15,Navarra,dieselPlus,1.578,1.768,1.909,99
2026-05-15,Navarra,g98,1.489,1.73,1.994,63
2026-05-15,Bizkaia,g95,1.359,1.576,1.689,121
2026-05-15,Bizkaia,g98,1.539,1.747,1.829,69
2026-05-15,Bizkaia,diesel,1.499,1.702,1.839,125
2026-05-15,Bizkaia,dieselPlus,1.549,1.755,1.909,43
2026-05-16,Araba,g95,1.425,1.572,1.689,67
2026-05-16,Araba,diesel,1.545,1.704,1.829,71
2026-05-16,Araba,dieselPlus,1.605,1.778,1.885,36
2026-05-16,Araba,g98,1.549,1.728,1.815,37
2026-05-16,Gipuzkoa,g95,1.239,1.56,1.689,131
2026-05-16,Gipuzkoa,g98,1.519,1.732,1.789,77
2026-05-16,Gipuzkoa,diesel,1.359,1.701,1.859,145
2026-05-16,Gipuzkoa,dieselPlus,1.565,1.782,1.919,81
2026-05-16,Navarra,g95,1.329,1.526,1.699,217
2026-05-16,Navarra,diesel,1.455,1.661,1.879,241
2026-05-16,Navarra,dieselPlus,1.578,1.764,1.909,98
2026-05-16,Navarra,g98,1.489,1.727,1.994,63
2026-05-16,Bizkaia,g95,1.379,1.574,1.689,125
2026-05-16,Bizkaia,g98,1.539,1.743,1.819,69
2026-05-16,Bizkaia,diesel,1.499,1.701,1.839,127
2026-05-16,Bizkaia,dieselPlus,1.549,1.752,1.909,45
2026-05-17,Araba,g95,1.425,1.575,1.689,67
2026-05-17,Araba,diesel,1.545,1.706,1.829,71
2026-05-17,Araba,dieselPlus,1.605,1.779,1.885,36
2026-05-17,Araba,g98,1.549,1.732,1.829,37
2026-05-17,Gipuzkoa,g95,1.189,1.561,1.689,131
2026-05-17,Gipuzkoa,g98,1.519,1.736,1.799,77
2026-05-17,Gipuzkoa,diesel,1.309,1.702,1.859,145
2026-05-17,Gipuzkoa,dieselPlus,1.565,1.784,1.919,81
2026-05-17,Navarra,g95,1.329,1.528,1.699,214
2026-05-17,Navarra,diesel,1.455,1.661,1.879,238
2026-05-17,Navarra,dieselPlus,1.578,1.763,1.909,96
2026-05-17,Navarra,g98,1.489,1.729,1.994,62
2026-05-17,Bizkaia,g95,1.379,1.578,1.689,125
2026-05-17,Bizkaia,g98,1.539,1.748,1.829,69
2026-05-17,Bizkaia,diesel,1.499,1.705,1.839,127
2026-05-17,Bizkaia,dieselPlus,1.549,1.753,1.909,45
2026-05-18,Araba,g95,1.425,1.577,1.699,67
2026-05-18,Araba,diesel,1.545,1.707,1.839,71
2026-05-18,Araba,dieselPlus,1.605,1.781,1.889,36
2026-05-18,Araba,g98,1.549,1.733,1.829,37
2026-05-18,Gipuzkoa,g95,1.159,1.566,1.689,131
2026-05-18,Gipuzkoa,g98,1.529,1.737,1.799,77
2026-05-18,Gipuzkoa,diesel,1.279,1.706,1.859,145
2026-05-18,Gipuzkoa,dieselPlus,1.567,1.785,1.919,81
2026-05-18,Navarra,g95,1.329,1.536,1.699,216
2026-05-18,Navarra,diesel,1.455,1.662,1.879,240
2026-05-18,Navarra,dieselPlus,1.559,1.764,1.909,97
2026-05-18,Navarra,g98,1.489,1.731,1.994,62
2026-05-18,Bizkaia,g95,1.374,1.581,1.729,125
2026-05-18,Bizkaia,g98,1.539,1.749,1.829,69
2026-05-18,Bizkaia,diesel,1.489,1.703,1.81,127
2026-05-18,Bizkaia,dieselPlus,1.549,1.754,1.909,44
2026-05-19,Araba,g95,1.425,1.578,1.699,67
2026-05-19,Araba,diesel,1.545,1.707,1.839,71
2026-05-19,Araba,dieselPlus,1.605,1.78,1.889,36
2026-05-19,Araba,g98,1.549,1.731,1.815,37
2026-05-19,Gipuzkoa,g95,1.369,1.569,1.689,131
2026-05-19,Gipuzkoa,g98,1.529,1.738,1.799,77
2026-05-19,Gipuzkoa,diesel,1.489,1.709,1.859,146
2026-05-19,Gipuzkoa,dieselPlus,1.567,1.787,1.919,81
2026-05-19,Navarra,g95,1.369,1.54,1.699,216
2026-05-19,Navarra,diesel,1.459,1.661,1.829,240
2026-05-19,Navarra,dieselPlus,1.559,1.763,1.909,97
2026-05-19,Navarra,g98,1.489,1.734,1.994,62
2026-05-19,Bizkaia,g95,1.409,1.586,1.729,125
2026-05-19,Bizkaia,g98,1.539,1.754,1.839,69
2026-05-19,Bizkaia,diesel,1.509,1.704,1.809,127
2026-05-19,Bizkaia,dieselPlus,1.549,1.752,1.909,45
2026-05-20,Araba,g95,1.425,1.59,1.709,67
2026-05-20,Araba,diesel,1.549,1.716,1.839,71
2026-05-20,Araba,dieselPlus,1.609,1.788,1.935,36
2026-05-20,Araba,g98,1.549,1.747,1.865,37
2026-05-20,Gipuzkoa,g95,1.339,1.579,1.689,131
2026-05-20,Gipuzkoa,g98,1.529,1.754,1.829,77
2026-05-20,Gipuzkoa,diesel,1.439,1.716,1.859,146
2026-05-20,Gipuzkoa,dieselPlus,1.579,1.795,1.919,81
2026-05-20,Navarra,g95,1.379,1.547,1.699,216
2026-05-20,Navarra,diesel,1.485,1.666,1.829,240
2026-05-20,Navarra,dieselPlus,1.559,1.77,1.909,97
2026-05-20,Navarra,g98,1.489,1.748,1.994,62
2026-05-20,Bizkaia,g95,1.409,1.605,1.729,125
2026-05-20,Bizkaia,g98,1.539,1.777,1.875,69
2026-05-20,Bizkaia,diesel,1.509,1.718,1.815,127
2026-05-20,Bizkaia,dieselPlus,1.549,1.757,1.909,45
2026-05-21,Araba,g95,1.425,1.591,1.709,67
2026-05-21,Araba,diesel,1.549,1.716,1.839,71
2026-05-21,Araba,dieselPlus,1.609,1.789,1.935,36
2026-05-21,Araba,g98,1.549,1.748,1.865,37
2026-05-21,Gipuzkoa,g95,1.289,1.582,1.689,131
2026-05-21,Gipuzkoa,g98,1.529,1.757,1.829,77
2026-05-21,Gipuzkoa,diesel,1.389,1.715,1.859,146
2026-05-21,Gipuzkoa,dieselPlus,1.579,1.795,1.919,81
2026-05-21,Navarra,g95,1.379,1.55,1.699,216
2026-05-21,Navarra,diesel,1.485,1.66,1.829,240
2026-05-21,Navarra,dieselPlus,1.559,1.769,1.909,97
2026-05-21,Navarra,g98,1.489,1.751,1.994,62
2026-05-21,Bizkaia,g95,1.409,1.609,1.729,125
2026-05-21,Bizkaia,g98,1.539,1.78,1.875,69
2026-05-21,Bizkaia,diesel,1.509,1.72,1.819,127
2026-05-21,Bizkaia,dieselPlus,1.549,1.759,1.909,45
2026-05-22,Araba,g95,1.428,1.593,1.709,67
2026-05-22,Araba,diesel,1.542,1.709,1.839,70
2026-05-22,Araba,dieselPlus,1.599,1.786,1.935,35
2026-05-22,Araba,g98,1.549,1.753,1.865,37
2026-05-22,Gipuzkoa,g95,1.269,1.586,1.699,130
2026-05-22,Gipuzkoa,g98,1.569,1.762,1.839,77
2026-05-22,Gipuzkoa,diesel,1.369,1.71,1.859,146
2026-05-22,Gipuzkoa,dieselPlus,1.579,1.793,1.919,81
2026-05-22,Navarra,g95,1.379,1.551,1.699,214
2026-05-22,Navarra,diesel,1.465,1.653,1.829,239
2026-05-22,Navarra,dieselPlus,1.539,1.765,1.909,97
2026-05-22,Navarra,g98,1.489,1.755,1.994,62
2026-05-22,Bizkaia,g95,1.409,1.612,1.729,124
2026-05-22,Bizkaia,g98,1.539,1.788,1.889,69
2026-05-22,Bizkaia,diesel,1.489,1.709,1.809,127
2026-05-22,Bizkaia,dieselPlus,1.529,1.754,1.909,45
2026-05-23,Araba,g95,1.427,1.591,1.705,67
2026-05-23,Araba,diesel,1.541,1.704,1.839,70
2026-05-23,Araba,dieselPlus,1.599,1.783,1.935,35
2026-05-23,Araba,g98,1.549,1.746,1.865,37
2026-05-23,Gipuzkoa,g95,1.369,1.584,1.699,130
2026-05-23,Gipuzkoa,g98,1.569,1.755,1.825,77
2026-05-23,Gipuzkoa,diesel,1.459,1.708,1.859,146
2026-05-23,Gipuzkoa,dieselPlus,1.579,1.789,1.919,81
2026-05-23,Navarra,g95,1.379,1.549,1.699,214
2026-05-23,Navarra,diesel,1.465,1.651,1.829,239
